ID Venda,Data Venda,Marca Veículo,Modelo Veículo,Ano Modelo,Preço Compra (R$),Preço Venda (R$),Forma Pagamento,Vendedor,Cidade Cliente
1,2025-04-13,BMW,BMW 320i,2025,"262.500,00","321.900,00",Financiamento,Maria Oliveira,Belo Horizonte
2,2025-03-29,Chevrolet,Chevrolet Tracker,2024,"96.300,00","119.500,00",Consórcio,João Santos,Recife
3,2025-10-04,Fiat,Fiat Argo,2024,"59.400,00","70.500,00",Financiamento,Maria Oliveira,Fortaleza
4,2025-06-19,Mercedes-Benz,Mercedes-Benz C 180,2024,"220.900,00","256.300,00",Financiamento,Pedro Costa,Recife
5,2025-05-11,Toyota,Toyota Corolla,2025,"118.400,00","146.800,00",Troca + Financiamento,Pedro Costa,Salvador
6,2025-08-30,Volkswagen,Volkswagen T-Cross,2024,"104.600,00","126.900,00",Consórcio,Pedro Costa,Porto Alegre
7,2025-09-21,BMW,BMW 320i,2024,"251.500,00","307.400,00",Consórcio,João Santos,Curitiba
8,2025-11-06,Jeep,Jeep Renegade,2025,"121.500,00","141.300,00",Troca + Financiamento,Pedro Costa,São Paulo
9,2025-07-09,Hyundai,Hyundai Creta,2025,"113.100,00","132.400,00",À Vista,Ana Silva,Curitiba
10,2025-07-07,Jeep,Jeep Compass,2024,"163.200,00","202.100,00",Troca + Financiamento,Ana Silva,Curitiba
11,2025-05-16,Honda,Honda HR-V,2024,"133.000,00","151.300,00",À Vista,João Santos,Fortaleza
12,2025-02-10,Hyundai,Hyundai HB20,2025,"64.000,00","79.000,00",Financiamento,Lucas Ferreira,Belo Horizonte
13,2025-06-21,Hyundai,Hyundai Creta,2024,"106.300,00","126.800,00",Troca + Financiamento,Maria Oliveira,São Paulo
14,2025-01-05,Renault,Renault Kwid,2024,"47.000,00","58.600,00",Financiamento,Ana Silva,Curitiba
15,2025-04-06,Chevrolet,Chevrolet Tracker,2025,"90.400,00","107.500,00",Consórcio,Pedro Costa,Porto Alegre
16,2025-06-09,Hyundai,Hyundai HB20,2024,"65.400,00","73.200,00",Troca + Financiamento,Ana Silva,Porto Alegre
17,2025-05-14,Jeep,Jeep Renegade,2024,"120.600,00","141.200,00",Troca + Financiamento,Pedro Costa,São Paulo
18,2025-08-19,Fiat,Fiat Argo,2024,"58.400,00","73.000,00",Financiamento,Maria Oliveira,Fortaleza
19,2025-07-17,Hyundai,Hyundai Creta,2025,"108.200,00","124.500,00",Financiamento,Maria Oliveira,Salvador
20,2025-06-09,Volkswagen,Volkswagen T-Cross,2025,"100.600,00","121.900,00",Financiamento,João Santos,Belo Horizonte
21,2025-04-23,Toyota,Toyota Corolla,2024,"121.800,00","141.500,00",À Vista,Lucas Ferreira,Recife
22,2025-08-13,Fiat,Fiat Argo,2024,"53.400,00","62.900,00",Troca + Financiamento,Pedro Costa,Fortaleza
23,2025-07-22,Ford,Ford Ranger,2025,"198.000,00","229.400,00",À Vista,Maria Oliveira,Fortaleza
24,2025-08-28,Mercedes-Benz,Mercedes-Benz C 180,2025,"223.100,00","272.500,00",Financiamento,Pedro Costa,Curitiba
25,2025-12-12,Chevrolet,Chevrolet Onix,2025,"63.700,00","78.700,00",Troca + Financiamento,João Santos,Recife
26,2025-05-09,Honda,Honda HR-V,2024,"119.100,00","133.400,00",Troca + Financiamento,Maria Oliveira,Fortaleza
27,2025-09-09,Mercedes-Benz,Mercedes-Benz C 180,2025,"246.400,00","288.900,00",Financiamento,Pedro Costa,Porto Alegre
28,2025-02-06,Volkswagen,Volkswagen T-Cross,2024,"124.700,00","141.000,00",Troca + Financiamento,Ana Silva,Recife
29,2025-04-26,Honda,Honda HR-V,2025,"133.200,00","153.600,00",À Vista,Ana Silva,Belo Horizonte
30,2025-06-02,Renault,Renault Kwid,2024,"51.800,00","63.000,00",Consórcio,Ana Silva,Salvador
31,2025-10-04,Mercedes-Benz,Mercedes-Benz C 180,2025,"261.500,00","295.500,00",Consórcio,Ana Silva,Recife
32,2025-01-22,Renault,Renault Kwid,2024,"53.200,00","59.700,00",À Vista,Lucas Ferreira,Salvador
33,2025-04-07,BMW,BMW 320i,2025,"256.200,00","293.700,00",Financiamento,Maria Oliveira,Recife
34,2025-02-18,Ford,Ford Ranger,2025,"196.700,00","237.600,00",Troca + Financiamento,Pedro Costa,São Paulo
35,2025-02-06,Ford,Ford Ranger,2025,"220.700,00","245.800,00",Financiamento,Lucas Ferreira,Porto Alegre
36,2025-06-10,Chevrolet,Chevrolet Onix,2024,"75.000,00","83.900,00",Consórcio,João Santos,Recife
37,2025-12-08,Fiat,Fiat Mobi,2023,"54.400,00","61.500,00",Financiamento,Lucas Ferreira,Rio de Janeiro
38,2025-09-04,Chevrolet,Chevrolet Onix,2024,"68.900,00","85.300,00",Financiamento,Pedro Costa,Porto Alegre
39,2025-01-20,Fiat,Fiat Argo,2024,"54.700,00","67.900,00",Troca + Financiamento,Pedro Costa,Rio de Janeiro
40,2025-11-18,Ford,Ford Ranger,2024,"222.200,00","265.800,00",Financiamento,Ana Silva,Recife
41,2025-02-22,Jeep,Jeep Renegade,2025,"111.400,00","126.000,00",Financiamento,Maria Oliveira,Fortaleza
42,2025-11-04,Mercedes-Benz,Mercedes-Benz C 180,2025,"238.100,00","286.100,00",Consórcio,Maria Oliveira,Curitiba
43,2025-02-27,Toyota,Toyota Corolla,2024,"120.700,00","143.200,00",Consórcio,Ana Silva,Rio de Janeiro
44,2025-05-02,Fiat,Fiat Argo,2025,"52.400,00","64.800,00",Financiamento,Lucas Ferreira,Porto Alegre
45,2025-09-29,Hyundai,Hyundai HB20,2025,"68.700,00","78.700,00",Financiamento,João Santos,Recife
46,2025-03-27,Renault,Renault Kwid,2023,"50.500,00","56.200,00",Financiamento,João Santos,Rio de Janeiro
47,2025-12-07,Hyundai,Hyundai HB20,2024,"68.600,00","79.300,00",Financiamento,Lucas Ferreira,Curitiba
48,2025-10-17,Volkswagen,Volkswagen Nivus,2025,"113.000,00","127.600,00",Consórcio,Pedro Costa,Recife
49,2025-10-07,Mercedes-Benz,Mercedes-Benz C 180,2025,"216.300,00","251.900,00",Troca + Financiamento,Pedro Costa,Rio de Janeiro
50,2025-06-12,Fiat,Fiat Argo,2025,"63.400,00","70.900,00",Financiamento,Ana Silva,Recife
51,2025-11-26,Honda,Honda HR-V,2024,"107.000,00","132.100,00",Financiamento,Maria Oliveira,Rio de Janeiro
52,2025-02-04,Ford,Ford Ranger,2025,"200.400,00","230.800,00",Financiamento,Maria Oliveira,São Paulo
53,2025-07-15,Jeep,Jeep Compass,2025,"144.500,00","171.600,00",Troca + Financiamento,Pedro Costa,Rio de Janeiro
54,2025-12-23,Volkswagen,Volkswagen T-Cross,2025,"119.900,00","137.300,00",Financiamento,Ana Silva,Fortaleza
55,2025-04-06,Toyota,Toyota Corolla,2024,"146.100,00","167.200,00",Financiamento,Ana Silva,São Paulo
56,2025-03-03,Mercedes-Benz,Mercedes-Benz C 180,2024,"219.300,00","270.800,00",Financiamento,Lucas Ferreira,São Paulo
57,2025-03-17,Volkswagen,Volkswagen T-Cross,2024,"132.900,00","148.500,00",À Vista,Lucas Ferreira,Porto Alegre
58,2025-04-09,Jeep,Jeep Renegade,2024,"116.800,00","133.500,00",Consórcio,Ana Silva,Fortaleza
59,2025-04-19,Volkswagen,Volkswagen Nivus,2025,"112.700,00","139.900,00",Consórcio,Lucas Ferreira,Belo Horizonte
60,2025-11-27,BMW,BMW 320i,2024,"287.200,00","333.300,00",Financiamento,Lucas Ferreira,Recife
61,2025-06-19,Volkswagen,Volkswagen T-Cross,2025,"114.100,00","141.200,00",Financiamento,Maria Oliveira,Recife
62,2025-12-31,Fiat,Fiat Argo,2025,"57.600,00","64.700,00",À Vista,Pedro Costa,Salvador
63,2025-09-09,Jeep,Jeep Renegade,2025,"111.200,00","124.800,00",Financiamento,Maria Oliveira,Porto Alegre
64,2025-05-21,Hyundai,Hyundai Creta,2024,"113.300,00","129.500,00",À Vista,Ana Silva,Fortaleza
65,2025-11-08,Fiat,Fiat Argo,2024,"63.500,00","79.300,00",Troca + Financiamento,Lucas Ferreira,Fortaleza
66,2025-05-29,Mercedes-Benz,Mercedes-Benz C 180,2025,"258.000,00","319.500,00",À Vista,Pedro Costa,São Paulo
