IND003[DtOperacao],IND003[CodigoEmpresa],IND003[Estabelecimento],IND003[KmRodado],IND003[Ônibus],IND003[LinhaCodigo],IND003[OIDBem],IND003[DtFabricacao],IND003[DESCRICAO.1],IND003[LinhaDescricao],IND003[CentroCusto],IND003[AnoFabricação],IND003[Meses Rodando],IND003[NomeEmpresa]
2023-01-03,2,2,351,31261,F13,A96D39767527,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-02,2,2,352,31261,F13,A96D39767527,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-17,2,2,89,31261,F13,A96D39767527,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-13,2,2,352,31261,F13,A96D39767527,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-12,2,2,353,31261,F13,A96D39767527,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-20,2,2,337,31261,F13,A96D39767527,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-27,2,2,353,31261,F13,A96D39767527,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-06,2,2,352,31261,F13,A96D39767527,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-21,2,2,80,31261,F13,A96D39767527,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-30,2,2,352,31261,F13,A96D39767527,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-19,2,2,352,31261,F13,A96D39767527,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-23,2,2,353,31261,F13,A96D39767527,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-24,2,2,284,31261,F13,A96D39767527,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-28,2,2,80,31261,F13,A96D39767527,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-09,2,2,351,31261,F13,A96D39767527,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-04,2,2,21,31261,F13,A96D39767527,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-26,2,2,353,31261,F13,A96D39767527,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-16,2,2,352,31261,F13,A96D39767527,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-18,2,2,353,31261,F13,A96D39767527,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-28,2,2,431,31269,F13,F128BD70A39E,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-04,2,2,450,31270,F13,148ED3832BE7,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-05,2,2,445,31270,F13,148ED3832BE7,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-02,2,2,448,31270,F13,148ED3832BE7,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-21,2,2,97,31270,F13,148ED3832BE7,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-16,2,2,447,31270,F13,148ED3832BE7,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-19,2,2,447,31270,F13,148ED3832BE7,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-22,2,2,396,31270,F13,148ED3832BE7,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-11,2,2,447,31270,F13,148ED3832BE7,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-25,2,2,446,31270,F13,148ED3832BE7,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-30,2,2,441,31270,F13,148ED3832BE7,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-23,2,2,448,31270,F13,148ED3832BE7,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-10,2,2,429,31270,F13,148ED3832BE7,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-20,2,2,448,31270,F13,148ED3832BE7,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-03,2,2,252,31270,F13,148ED3832BE7,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-12,2,2,445,31270,F13,148ED3832BE7,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-13,2,2,448,31270,F13,148ED3832BE7,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-06,2,2,448,31270,F13,148ED3832BE7,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-26,2,2,448,31270,F13,148ED3832BE7,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-29,2,2,163,31270,F13,148ED3832BE7,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-27,2,2,239,31270,F13,148ED3832BE7,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-18,2,2,130,31270,F13,148ED3832BE7,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-17,2,2,446,31270,F13,148ED3832BE7,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-24,2,2,117,31270,F13,148ED3832BE7,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-31,2,2,440,31270,F13,148ED3832BE7,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-13,2,2,172,31252,F13,4D3253744A27,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-30,2,2,172,31252,F13,4D3253744A27,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-17,2,2,172,31252,F13,4D3253744A27,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-03,2,2,155,31252,F13,4D3253744A27,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-10,2,2,156,31252,F13,4D3253744A27,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-18,2,2,172,31252,F13,4D3253744A27,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-25,2,2,171,31252,F13,4D3253744A27,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-26,2,2,156,31252,F13,4D3253744A27,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-19,2,2,172,31252,F13,4D3253744A27,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-23,2,2,172,31252,F13,4D3253744A27,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-24,2,2,171,31252,F13,4D3253744A27,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-02,2,2,172,31252,F13,4D3253744A27,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-09,2,2,172,31252,F13,4D3253744A27,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-05,2,2,173,31252,F13,4D3253744A27,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-06,2,2,172,31252,F13,4D3253744A27,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-16,2,2,87,31252,F13,4D3253744A27,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-31,2,2,172,31252,F13,4D3253744A27,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-20,2,2,172,31252,F13,4D3253744A27,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-27,2,2,172,31252,F13,4D3253744A27,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-16,2,2,87,31266,F13,24B6EF640108,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-06,2,2,13,31268,F13,79BC092B18D4,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-11,2,2,122,31264,F13,558531343F76,2014-10-20,CB Frota,ESTADOS,Comum,2014,135,Nobel
2023-01-30,2,2,65,31263,F14,99C8A38951DA,2014-10-20,CB Frota,SANTA MARIA,Comum,2014,135,Nobel
2023-01-17,2,2,79,31262,F14,C58032039C54,2014-10-20,CB Frota,SANTA MARIA,Comum,2014,135,Nobel
2023-01-29,2,2,17,31253,F14,2952136371A2,2014-10-20,CB Frota,SANTA MARIA,Comum,2014,135,Nobel
2023-01-31,2,2,49,31271,F14,1D6F6A98B5FA,2014-10-20,CB Frota,SANTA MARIA,Comum,2014,135,Nobel
2023-01-12,2,2,64,31251,F14,F99C866B07C8,2014-10-20,CB Frota,SANTA MARIA,Comum,2014,135,Nobel
2023-01-10,2,2,65,31261,F14,A96D39767527,2014-10-20,CB Frota,SANTA MARIA,Comum,2014,135,Nobel
2023-01-21,2,2,426,31269,F14,F128BD70A39E,2014-10-20,CB Frota,SANTA MARIA,Comum,2014,135,Nobel
2023-01-30,2,2,50,31266,F14,24B6EF640108,2014-10-20,CB Frota,SANTA MARIA,Comum,2014,135,Nobel
2023-01-11,2,2,61,31252,F14,4D3253744A27,2014-10-20,CB Frota,SANTA MARIA,Comum,2014,135,Nobel
2023-01-13,2,2,65,31254,F14,7ABDD91CE030,2014-10-20,CB Frota,SANTA MARIA,Comum,2014,135,Nobel
2023-01-09,2,2,138,31268,F14,79BC092B18D4,2014-10-20,CB Frota,SANTA MARIA,Comum,2014,135,Nobel
2023-01-02,2,2,437,31268,F14,79BC092B18D4,2014-10-20,CB Frota,SANTA MARIA,Comum,2014,135,Nobel
2023-01-10,2,2,424,31268,F14,79BC092B18D4,2014-10-20,CB Frota,SANTA MARIA,Comum,2014,135,Nobel
2023-01-03,2,2,440,31268,F14,79BC092B18D4,2014-10-20,CB Frota,SANTA MARIA,Comum,2014,135,Nobel
2023-01-12,2,2,439,31268,F14,79BC092B18D4,2014-10-20,CB Frota,SANTA MARIA,Comum,2014,135,Nobel
2023-01-27,2,2,50,31268,F14,79BC092B18D4,2014-10-20,CB Frota,SANTA MARIA,Comum,2014,135,Nobel
2023-01-13,2,2,49,31268,F14,79BC092B18D4,2014-10-20,CB Frota,SANTA MARIA,Comum,2014,135,Nobel
2023-01-28,2,2,151,31268,F14,79BC092B18D4,2014-10-20,CB Frota,SANTA MARIA,Comum,2014,135,Nobel
2023-01-07,2,2,166,31268,F14,79BC092B18D4,2014-10-20,CB Frota,SANTA MARIA,Comum,2014,135,Nobel
2023-01-26,2,2,62,31268,F14,79BC092B18D4,2014-10-20,CB Frota,SANTA MARIA,Comum,2014,135,Nobel
2023-01-05,2,2,438,31268,F14,79BC092B18D4,2014-10-20,CB Frota,SANTA MARIA,Comum,2014,135,Nobel
2023-01-04,2,2,438,31268,F14,79BC092B18D4,2014-10-20,CB Frota,SANTA MARIA,Comum,2014,135,Nobel
