INDMANTMANUAL[Descricao],INDMANTMANUAL[Simbolo],INDMANTMANUAL[Valor],INDMANTMANUAL[DtMovimento],INDMANTMANUAL[nomeEmpresa],INDMANTMANUAL[cod_empresa],Unnamed: 6
TOPP Nobel - Total OE Prev. Parada MANT,TOPPN,40.0,2025-01-01,Nobel,2.0,
TIC Nobel Total de Itens conformes MANT,TICN,228.0,2025-02-01,Nobel,2.0,
TOPP Nobel - Total OE Prev. Parada MANT,TOPPN,88.0,2025-06-01,Nobel,2.0,
OEMPP Leblon - OE Prev. Pendt MANT,OEMPPL,116.0,2025-06-01,Leblon,1.0,
OEMCP Nobel - OE de Manutenção MANT,OEMCPN,20.0,2025-01-01,Nobel,2.0,
CAIEFO Leblon - Carros Analisados MANT,CAIEFL,1.0,2025-08-01,Leblon,1.0,
CAIEMF Leblon - Carros Aprovados MANT,CAIEML,8.0,2025-05-01,Leblon,1.0,
QVA Nobel - Qtd de Veículos Aprvd MANT,QVAN,10.0,2025-02-01,Nobel,2.0,
CAIEMF Leblon - Carros Aprovados MANT,CAIEML,1.0,2025-08-01,Leblon,1.0,
QVA Nobel - Qtd de Veículos Aprvd MANT,QVAN,1.0,2025-08-01,Nobel,2.0,
OEMPP Leblon - OE Prev. Pendt MANT,OEMPPL,65.0,2025-05-01,Leblon,1.0,
CAIEMF Nobel - Carros Aprovados MANT,CAIENN,3.0,2025-06-01,Nobel,2.0,
CAIEFO Leblon - Carros Analisados MANT,CAIEFL,1.0,2025-06-01,Leblon,1.0,
CDTDM Leblon - Cst de Teste Mant - MANT,CDTDML,4951.04,2025-02-01,Leblon,1.0,
OEMPP Leblon - OE Prev. Pendt MANT,OEMPPL,27.0,2025-03-01,Leblon,1.0,
TIC Nobel Total de Itens conformes MANT,TICN,447.0,2025-08-01,Nobel,2.0,
QVV Leblon - Qtd de Veículos Visto MANT,QVVL,3.0,2025-01-01,Leblon,1.0,
OEMPP Leblon - OE Prev. Pendt MANT,OEMPPL,23.0,2025-07-01,Leblon,1.0,
OEMPP Nobel - OE Prev. Pendt MANT,OEMPPN,31.0,2025-07-01,Nobel,2.0,
OEMCP Leblon - OE de Manutenção MANT,OEMCPL,13.0,2025-07-01,Leblon,1.0,
QVV Nobel - Qtd de Veículos Visto MANT,QVVN,17.0,2025-05-01,Nobel,2.0,
TIC Leblon Total de Itens conformes MANT,TICL,439.0,2025-08-01,Leblon,1.0,
QVA Nobel - Qtd de Veículos Aprvd MANT,QVAN,4.0,2025-03-01,Nobel,2.0,
TIC Leblon Total de Itens conformes MANT,TICL,487.0,2025-05-01,Leblon,1.0,
CAIEFO Leblon - Carros Analisados MANT,CAIEFL,19.0,2025-01-01,Leblon,1.0,
CAIEMF Nobel - Carros Aprovados MANT,CAIENN,1.0,2025-07-01,Nobel,2.0,
QVA Leblon - Qtd de Veículos Aprvd MANT,QVAL,4.0,2024-02-01,Leblon,1.0,
