MANT001[Dtemissao],MANT001[DetalhesServiço],MANT001[OIDDocumento],MANT001[CodigoEmpresa],MANT001[DtSituacao],MANT001[HrSituacao],MANT001[DtOcorrencia],MANT001[HrOcorrencia],MANT001[Numero],MANT001[Turno],MANT001[DescriçãoDocumento],MANT001[TipoDocumento],MANT001[NomePessoaResposável],MANT001[SituaçãoDocumento],MANT001[OIDBem],MANT001[Descricao],MANT001[NomeEmpresa],MANT001[HoraInicio],MANT001[Ônibus]
2023-01-17,no Terminal - por falha mecânica,4213066BF79E,2,2023-01-20,08:10:11,2023-01-17,11:36:00,55905.0,Manhã,Ocorrência de Manutenção,Ocorrência de Manutenção,Ilson Antonio Ferreira Cordeiro,Liquidado,7ABDD91CE030,31254,Nobel,,31254
2023-01-16,no Terminal - por falha mecânica,762082CC3847,2,2023-01-25,11:06:30,2023-01-16,07:45:00,55895.0,Manhã,Ocorrência de Manutenção,Ocorrência de Manutenção,Ilson Antonio Ferreira Cordeiro,Liquidado,514B808FE9DA,31053,Nobel,,31053
2023-01-16,no Terminal - por falha mecânica,7E86651DCE5B,2,2023-01-25,11:06:29,2023-01-16,09:04:00,55896.0,Manhã,Ocorrência de Manutenção,Ocorrência de Manutenção,Ilson Antonio Ferreira Cordeiro,Liquidado,7ABDD91CE030,31254,Nobel,,31254
2023-01-16,no Terminal - por falha mecânica,979057930CE0,2,2023-01-25,11:06:32,2023-01-16,07:52:00,55894.0,Manhã,Ocorrência de Manutenção,Ocorrência de Manutenção,Ilson Antonio Ferreira Cordeiro,Liquidado,01579B4AE7D4,31260,Nobel,,31260
2023-01-05,no Terminal - por falha mecânica,CEBCCEC920E5,2,2023-01-25,11:07:08,2023-01-05,09:04:00,55772.0,Manhã,Ocorrência de Manutenção,Ocorrência de Manutenção,Ilson Antonio Ferreira Cordeiro,Liquidado,C5FC89FA4F2C,31283,Nobel,,31283
2023-01-05,no Terminal - por falha mecânica,C3E03625DD8F,1,2023-01-25,15:06:29,2023-01-05,11:30:00,95578.0,Manhã,Ocorrência de Manutenção,Ocorrência de Manutenção,Ilson Antonio Ferreira Cordeiro,Liquidado,20FBAA65C429,15427,Leblon,,15427
2023-01-13,no Terminal - por falha mecânica,E77F6CCCC2EB,1,2023-09-21,16:20:29,2023-09-01,08:38:00,95638.0,Manhã,Ocorrência de Manutenção,Ocorrência de Manutenção,Ilson Antonio Ferreira Cordeiro,Liquidado,20FBAA65C429,15427,Leblon,,15427
2023-01-29,no Terminal - por falha mecânica,90E1E0F4ADD1,2,2023-04-03,07:59:31,2023-03-03,13:20:00,56033.0,Tarde,Ocorrência de Manutenção,Ocorrência de Manutenção,Ilson Antonio Ferreira Cordeiro,Liquidado,79BC092B18D4,31268,Nobel,,31268
2023-01-09,na Garagem por falha mecânica,1880AECB7A3E,1,2023-01-25,15:06:35,2023-01-09,05:23:00,95593.0,Manhã,Ocorrência de Manutenção,Ocorrência de Manutenção,Ilson Antonio Ferreira Cordeiro,Liquidado,1BF100F82863,15423,Leblon,,15423
2023-01-18,na Garagem por falha mecânica,A2C2D7DBA262,2,2023-01-25,11:06:23,2023-01-18,04:20:00,55909.0,Noite,Ocorrência de Manutenção,Ocorrência de Manutenção,Ilson Antonio Ferreira Cordeiro,Liquidado,10C0C75645BF,31292,Nobel,,31292
2023-01-03,na Garagem por falha mecânica,FD457D32C5C1,2,2023-01-25,11:07:26,2023-01-03,04:55:00,55739.0,Noite,Ocorrência de Manutenção,Ocorrência de Manutenção,Ilson Antonio Ferreira Cordeiro,Liquidado,C3E24EF87548,31047,Nobel,,31047
2023-01-18,no Terminal - pneu,1E140E9DF949,1,2023-01-25,15:07:36,2023-01-18,12:53:00,95730.0,Tarde,Ocorrência de Manutenção,Ocorrência de Manutenção,Ilson Antonio Ferreira Cordeiro,Liquidado,FB87A71AFC91,15R03,Leblon,,15R03
2023-01-18,Quebra no Trajeto Volta,2A6C35DAED3E,2,2023-04-26,09:22:22,2023-04-01,06:14:00,55910.0,Manhã,Ocorrência de Manutenção,Ocorrência de Manutenção,Ilson Antonio Ferreira Cordeiro,Liquidado,4A1AAEF39813,31041,Nobel,,31041
2023-01-26,Quebra no Trajeto Ida,3C6C0DB7B02F,1,2023-06-13,13:56:45,2023-06-01,07:15:00,95830.0,Manhã,Ocorrência de Manutenção,Ocorrência de Manutenção,Ilson Antonio Ferreira Cordeiro,Liquidado,FE26134924B9,15412,Leblon,,15412
2023-01-26,Quebra no Trajeto Volta,E24045B0BE50,1,2023-06-13,13:57:25,2023-06-01,16:19:00,95835.0,Tarde,Ocorrência de Manutenção,Ocorrência de Manutenção,Ilson Antonio Ferreira Cordeiro,Liquidado,64BD7CBDB695,15420,Leblon,,15420
2023-01-22,na Garagem - Pneu,F8850C23F4DB,2,2023-01-25,11:07:55,2023-01-22,04:20:00,55953.0,Noite,Ocorrência de Manutenção,Ocorrência de Manutenção,Ilson Antonio Ferreira Cordeiro,Liquidado,A28F5464474A,31299,Nobel,,31299
