Data,Empresa,ICMQ,IDF,QETG,QETT,KMFALHAS,IMP,OEMPP,OEMCP,CDTDM,TOPP,TO,IAVLIT,PCV,IOALO,INDOA
2024-01-01,Leblon,0.78,0.992,20000.0,8000.0,25000.0,0.75,50.0,30.0,8000.0,54,360000.0,1,0.8,1,0.75
2024-02-01,Leblon,1.233,0.992,20000.0,8000.0,25000.0,0.75,50.0,30.0,8000.0,54,360000.0,1,0.8,1,0.75
2024-03-01,Leblon,1.374,0.992,20000.0,8000.0,25000.0,0.75,50.0,30.0,8000.0,54,360000.0,1,0.8,1,0.75
2024-04-01,Leblon,1.399,0.992,20000.0,8000.0,25000.0,0.75,50.0,30.0,8000.0,54,360000.0,1,0.8,1,0.75
2024-05-01,Leblon,1.463,0.992,20000.0,8000.0,25000.0,0.75,50.0,30.0,8000.0,54,360000.0,1,0.8,1,0.75
2024-06-01,Leblon,1.38,0.992,20000.0,8000.0,25000.0,0.75,50.0,30.0,8000.0,54,360000.0,1,0.8,1,0.75
2024-07-01,Leblon,1.574,0.992,20000.0,8000.0,25000.0,0.75,50.0,30.0,8000.0,54,360000.0,1,0.8,1,0.75
2024-08-01,Leblon,1.141,0.992,20000.0,8000.0,25000.0,0.75,50.0,30.0,8000.0,54,360000.0,1,0.8,1,0.75
2024-09-01,Leblon,1.401,0.992,20000.0,8000.0,25000.0,0.75,50.0,30.0,8000.0,54,360000.0,1,0.8,1,0.75
2024-10-01,Leblon,1.25,0.992,20000.0,8000.0,25000.0,0.75,50.0,30.0,8000.0,54,360000.0,1,0.8,1,0.75
2024-11-01,Leblon,0.758,0.992,20000.0,8000.0,25000.0,0.75,50.0,30.0,8000.0,54,360000.0,1,0.8,1,0.75
2024-12-01,Leblon,0.625,0.992,20000.0,8000.0,25000.0,0.75,50.0,30.0,8000.0,54,360000.0,1,0.8,1,0.75
2025-01-01,Leblon,0.625,0.992,20000.0,8000.0,25000.0,0.75,50.0,30.0,8000.0,54,360000.0,1,0.8,1,0.75
2025-02-01,Leblon,0.625,0.992,20000.0,8000.0,25000.0,0.75,50.0,30.0,8000.0,54,360000.0,1,0.8,1,0.75
2025-03-01,Leblon,0.725,0.992,20000.0,8000.0,25000.0,0.75,50.0,30.0,8000.0,54,360000.0,1,0.8,1,0.75
2025-04-01,Leblon,0.625,0.992,20000.0,8000.0,25000.0,0.75,50.0,30.0,8000.0,54,360000.0,1,0.8,1,0.75
2025-05-01,Leblon,0.625,0.992,20000.0,8000.0,25000.0,0.75,50.0,30.0,8000.0,54,360000.0,1,0.8,1,0.75
2025-06-01,Leblon,0.625,0.992,20000.0,8000.0,25000.0,0.75,50.0,30.0,8000.0,54,360000.0,1,0.8,1,0.75
2025-07-01,Leblon,0.625,0.992,20000.0,8000.0,25000.0,0.75,50.0,30.0,8000.0,54,360000.0,1,0.8,1,0.75
2025-08-01,Leblon,0.625,0.992,20000.0,8000.0,25000.0,0.75,50.0,30.0,8000.0,54,360000.0,1,0.8,1,0.75
2025-09-01,Leblon,0.625,0.992,20000.0,8000.0,25000.0,0.75,50.0,30.0,8000.0,54,360000.0,1,0.8,1,0.75
2025-10-01,Leblon,0.625,0.992,20000.0,8000.0,25000.0,0.75,50.0,30.0,8000.0,54,360000.0,1,0.8,1,0.75
2025-11-01,Leblon,0.625,0.992,20000.0,8000.0,25000.0,0.75,50.0,30.0,8000.0,54,360000.0,1,0.8,1,0.75
2025-12-01,Leblon,0.625,0.992,20000.0,8000.0,25000.0,0.75,50.0,30.0,8000.0,54,360000.0,1,0.8,1,0.75
2024-01-01,Nobel,0.726,0.992,18000.0,3000.0,27000.0,0.75,30.0,20.0,6000.0,40,360000.0,1,0.8,1,0.75
2024-02-01,Nobel,0.726,0.992,18000.0,3000.0,27000.0,0.75,30.0,20.0,6000.0,40,360000.0,1,0.8,1,0.75
2024-03-01,Nobel,0.726,0.992,18000.0,3000.0,27000.0,0.75,30.0,20.0,6000.0,40,360000.0,1,0.8,1,0.75
2024-04-01,Nobel,0.726,0.992,18000.0,3000.0,27000.0,0.75,30.0,20.0,6000.0,40,360000.0,1,0.8,1,0.75
