id_dentista,nome_dentista
6099252238614528.0,Anderson
5788416824049664.0,Bruno
6200771016523776.0,Caio
5927954648530944.0,Daniel
5494262011396096.0,Eduarda
5594174370349056.0,Fabiola
4962304218365952.0,Gabriel
5226025450340352.0,Henrique
5057259602706432,Irene
"5,4708E+15",Joana
5097609955770368,Kaylane
5148855276797952.0,Laura
5716085923774464.0,Manoel
4808189297164288.0,Neymar
5570900166705152.0,Omar
6311049667936256.0,Paulo
6019238468124672.0,Querubim
6512483044818944.0,Raul
5495497544302592.0,Samara
6570010302349312.0,Tiago
4552979624034304.0,Uiva
6613426735284224.0,Veronica
5804578516893696.0,Wander
5237123728867328.0,Xama
5709926483689472.0,Yemen
5272257964343296.0,Zori
6093434866696192.0,Andre
4533357844168704.0,Abutre
4891712565084160.0,Alcachofra
5175349851783168.0,Ademir
5670566844497920.0,Aerosol
5925308461023232.0,Afoche
6124518606176256.0,Agata
5363178476011520.0,Ahora
